time,rain (mm),lat,lon
27-06-2010,15.04871559,30.5,79.5
28-06-2010,0,30.5,79.5
29-06-2010,10.8839426,30.5,79.5
30-06-2010,22.48904228,30.5,79.5
01-07-2010,0.235098615,30.5,79.5
02-07-2010,0,30.5,79.5
03-07-2010,17.11109543,30.5,79.5
04-07-2010,9.321336746,30.5,79.5
05-07-2010,8.156752586,30.5,79.5
06-07-2010,21.1003685,30.5,79.5
07-07-2010,9.180603981,30.5,79.5
08-07-2010,2.047190666,30.5,79.5
09-07-2010,4.128285408,30.5,79.5
10-07-2010,0,30.5,79.5
11-07-2010,0,30.5,79.5
12-07-2010,6.940292835,30.5,79.5
13-07-2010,13.41613674,30.5,79.5
14-07-2010,0,30.5,79.5
15-07-2010,12.90357876,30.5,79.5
16-07-2010,3.943231106,30.5,79.5
17-07-2010,26.07303047,30.5,79.5
18-07-2010,7.02141571,30.5,79.5
19-07-2010,12.8510952,30.5,79.5
20-07-2010,3.919550896,30.5,79.5
21-07-2010,27.51183128,30.5,79.5
22-07-2010,9.05407238,30.5,79.5
23-07-2010,8.487108231,30.5,79.5
24-07-2010,10.51836491,30.5,79.5
25-07-2010,23.63053131,30.5,79.5
26-07-2010,7.746546268,30.5,79.5
27-07-2010,20.74615288,30.5,79.5
28-07-2010,10.68608665,30.5,79.5
29-07-2010,0,30.5,79.5
30-07-2010,1.406493902,30.5,79.5
31-07-2010,42.00926208,30.5,79.5
01-08-2010,14.57978058,30.5,79.5
02-08-2010,2.417319775,30.5,79.5
03-08-2010,20.48542213,30.5,79.5
04-08-2010,3.354855537,30.5,79.5
05-08-2010,8.33035183,30.5,79.5
06-08-2010,1.744825244,30.5,79.5
07-08-2010,4.487377644,30.5,79.5
08-08-2010,17.71541023,30.5,79.5
09-08-2010,2.329356194,30.5,79.5
10-08-2010,2.729115963,30.5,79.5
11-08-2010,19.30573654,30.5,79.5
12-08-2010,15.47737312,30.5,79.5
13-08-2010,23.08893967,30.5,79.5
14-08-2010,21.42196655,30.5,79.5
15-08-2010,8.900733948,30.5,79.5
16-08-2010,7.162099838,30.5,79.5
17-08-2010,10.18800163,30.5,79.5
18-08-2010,23.04037285,30.5,79.5
19-08-2010,11.14177418,30.5,79.5
20-08-2010,18.28076935,30.5,79.5
21-08-2010,18.30000687,30.5,79.5
22-08-2010,29.60926056,30.5,79.5
23-08-2010,0.904965341,30.5,79.5
24-08-2010,0,30.5,79.5
25-08-2010,19.88210106,30.5,79.5
26-08-2010,12.42715549,30.5,79.5
27-08-2010,0.645498872,30.5,79.5
28-08-2010,0,30.5,79.5
29-08-2010,13.84970665,30.5,79.5
30-08-2010,7.482847691,30.5,79.5
31-08-2010,6.859745502,30.5,79.5
01-09-2010,14.83093166,30.5,79.5
02-09-2010,5.878881454,30.5,79.5
03-09-2010,38.57469559,30.5,79.5
04-09-2010,11.539814,30.5,79.5
05-09-2010,5.064113617,30.5,79.5
06-09-2010,0,30.5,79.5
07-09-2010,12.05330372,30.5,79.5
08-09-2010,48.5106926,30.5,79.5
09-09-2010,46.34460831,30.5,79.5
10-09-2010,0.493237942,30.5,79.5
11-09-2010,0,30.5,79.5
12-09-2010,29.05286789,30.5,79.5
13-09-2010,26.56755638,30.5,79.5
14-09-2010,2.73649931,30.5,79.5
15-09-2010,3.132417202,30.5,79.5
16-09-2010,8.855409622,30.5,79.5
17-09-2010,6.412638664,30.5,79.5
18-09-2010,31.654953,30.5,79.5
19-09-2010,101.4279785,30.5,79.5
20-09-2010,22.46891212,30.5,79.5
21-09-2010,0.450456768,30.5,79.5
22-09-2010,0.267884523,30.5,79.5
23-09-2010,5.683775425,30.5,79.5
24-09-2010,0,30.5,79.5
25-09-2010,5.900829792,30.5,79.5
26-09-2010,0,30.5,79.5
27-09-2010,0,30.5,79.5
28-09-2010,0,30.5,79.5
29-09-2010,0,30.5,79.5
30-09-2010,0,30.5,79.5
01-10-2010,0,30.5,79.5
02-10-2010,0,30.5,79.5
03-10-2010,0,30.5,79.5
04-10-2010,0,30.5,79.5
05-10-2010,0,30.5,79.5
06-10-2010,0,30.5,79.5
07-10-2010,0,30.5,79.5
08-10-2010,0,30.5,79.5
09-10-2010,0,30.5,79.5
10-10-2010,0,30.5,79.5
11-10-2010,0.645498872,30.5,79.5
12-10-2010,0,30.5,79.5
13-10-2010,0,30.5,79.5
14-10-2010,0,30.5,79.5
15-10-2010,0,30.5,79.5
16-10-2010,0,30.5,79.5
17-10-2010,0,30.5,79.5
18-10-2010,0,30.5,79.5
19-10-2010,0,30.5,79.5
20-10-2010,0,30.5,79.5
21-10-2010,0,30.5,79.5
22-10-2010,0,30.5,79.5
23-10-2010,2.179522276,30.5,79.5
24-10-2010,1.836895347,30.5,79.5
25-10-2010,0,30.5,79.5
26-10-2010,0,30.5,79.5
27-10-2010,0,30.5,79.5
28-10-2010,0,30.5,79.5
29-10-2010,0,30.5,79.5
30-10-2010,0,30.5,79.5
31-10-2010,1.210310459,30.5,79.5
01-11-2010,0,30.5,79.5
02-11-2010,0,30.5,79.5
03-11-2010,0,30.5,79.5
04-11-2010,0,30.5,79.5
05-11-2010,0,30.5,79.5
06-11-2010,0,30.5,79.5
07-11-2010,0,30.5,79.5
08-11-2010,0,30.5,79.5
09-11-2010,0,30.5,79.5
10-11-2010,0,30.5,79.5
11-11-2010,0,30.5,79.5
12-11-2010,0,30.5,79.5
13-11-2010,0,30.5,79.5
14-11-2010,0,30.5,79.5
15-11-2010,0,30.5,79.5
16-11-2010,0,30.5,79.5
17-11-2010,0,30.5,79.5
18-11-2010,0,30.5,79.5
19-11-2010,1.613747239,30.5,79.5
20-11-2010,1.801127195,30.5,79.5
21-11-2010,0,30.5,79.5
22-11-2010,0,30.5,79.5
23-11-2010,0,30.5,79.5
24-11-2010,0,30.5,79.5
25-11-2010,0,30.5,79.5
26-11-2010,0,30.5,79.5
27-11-2010,0,30.5,79.5
28-11-2010,0,30.5,79.5
29-11-2010,0,30.5,79.5
30-11-2010,0,30.5,79.5
